region,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Agadez,117513.118,121641.887,125915.7183,130339.7087,134919.1339,139659.4551,144566.3254,149645.5962,154903,160345.0786,165978.0012
Tchirozérine,97187.46917,100602.1058,104136.7142,107795.5094,111582.8546,115503.2665,119561.4202,123762.1553,128110,132611.0025,137269.627
Arlit,220302.617,228042.8474,236055.0271,244348.711,252933.7897,261820.5012,271019.4431,280541.5856,290398,300599.9759,311160.0531
Bilma,9010.403502,9326.979852,9654.678965,9993.891635,10345.02238,10708.48995,11084.72778,11474.18455,11877,12294.57513,12726.48355
Diffa,86549.11485,89589.97788,92737.68022,95995.97562,99368.74973,102860.0247,106473.964,110214.8773,114087,118095.1102,122243.7914
Maïné Soroa,73033.68562,75599.69031,78255.85039,81005.33341,83851.41825,86797.49896,89847.08885,93003.82467,96271,99653.48771,103154.3147
N'Guigmi,18320.427,18964.10671,19630.40181,20320.10688,21034.04442,21773.06582,22538.05239,23329.91641,24150,24997.97774,25876.1567
Boboye,275097.4429,284762.864,294767.8752,305124.4079,315844.8125,326941.8736,338428.8247,350319.3646,362628,375366.7832,388553.4183
Dogon-Doutchi,426829.172,441825.617,457348.9553,473417.6988,490051.0102,507268.7253,525091.3768,543540.2189,562637,582402.6992,602862.506
Dosso,350208.4561,362512.8678,375249.5894,388433.8097,402081.2516,416208.19,430831.4718,445968.5358,461637,477854.7566,494641.7942
Gaya,222913.5623,230745.527,238852.6641,247244.6417,255931.4676,264923.5011,274231.4655,283866.4609,293840,304162.5758,314847.8071
Loga,124452.5068,128825.0879,133351.2976,138036.5337,142886.3833,147906.6301,153103.261,158482.4731,164051,169813.7818,175779.3399
Aguié,213850.3333,221363.8656,229141.3824,237192.1587,245525.7952,254152.2302,263081.751,272325.0063,281893,291795.921,302046.7117
Dakoro,339512.5607,351441.1771,363788.9,376570.4543,389801.0827,403496.563,417673.2277,432347.9829,447538,463260.3504,479534.6865
Guidan-Roumdji,294681.8308,305035.3403,315752.6156,326846.4373,338330.0354,350217.1044,362521.82,375258.8561,388443,402089.4187,416214.82
Madarounfa,237967.0741,246327.9369,254982.5548,263941.2487,273214.7021,282813.974,292750.5119,303036.1654,313683,324702.8914,336109.704
Maradi,314487.5171,325536.8902,336974.4779,348813.92,361069.3354,373755.3391,386887.0597,400480.1572,414551,429114.013,444188.7882
Mayahi,273053.7864,282647.4047,292578.0902,302857.6858,313498.4502,324513.0729,335914.6893,347716.8961,359934,372578.2414,385666.915
Tessaoua,289978.2482,300166.4995,310712.7103,321629.4574,332929.7593,344627.092,356735.4051,369269.1382,382243,395671.4432,409571.381
Filingué,348138.7066,360370.3987,373031.8456,386138.1465,399704.9313,413748.3788,428285.2363,443332.8395,458909,475030.6112,491718.4366
Kollo,419151.2417,433877.9263,449122.0261,464901.7203,481235.8267,498143.8244,515645.8768,533762.8556,552516,571926.266,592018.0358
Ouallam,220951.5223,228714.5516,236750.3313,245068.4445,253678.8107,262591.6981,271817.7357,281367.9258,291254,301485.3984,312076.5805
Say,266453.654,275815.3796,285506.0251,295537.1469,305920.7076,316669.0898,327795.1115,339312.0408,351234,363572.4488,376344.749
Téra,371661.0008,384719.1378,398236.0664,412227.906,426711.3424,441703.6476,457222.7005,473287.0081,489916,507126.4672,524941.82
Tillabéri,147566.8156,152751.5073,158118.3607,163673.776,169424.3782,175377.0252,181538.8157,187917.0978,194519,201352.9472,208426.4762
Abalak,54139.54143,56041.70912,58010.70859,60048.88794,62158.67778,64342.59411,66603.24133,68943.31534,71366,73872.68053,76467.8278
Birni N'Konni,333962.7172,345696.3425,357842.2232,370414.8439,383429.1977,396900.8048,410845.7306,425280.6049,440223,455687.6632,471695.9708
Bouza,197354.1149,204288.0602,211465.6265,218895.3733,226586.1608,234547.1605,242787.8662,251318.1054,260148,269287.0515,278747.1056
Illéla,203417.9371,210564.932,217963.0333,225621.0635,233548.1549,241753.7611,250247.6674,259040.0032,268141,277561.0559,287311.7758
Keita,168917.4079,174852.2428,180995.5953,187354.7916,193937.4153,200751.3165,207804.621,215105.74,222663,230485.545,238582.5022
Madaoua,281537.1518,291428.8291,301668.0459,312267.0129,323238.3696,334595.1999,346351.0471,358519.9306,371116,384153.68,397648.9988
Tahoua,315947.7597,327048.4377,338539.133,350433.5485,362745.8688,375490.7767,388683.4711,402339.6847,416476,431106.4944,446251.2656
Tchintabaraden,71608.20722,74124.12838,76728.44527,79424.26363,82214.79832,85103.37714,88093.44485,91188.56719,94392,97708.44148,101140.939
Gouré,206958.0732,214229.4492,221756.3015,229547.6064,237612.6551,245961.0656,254602.7937,263548.1448,272808,282391.5242,292311.9385
Magaria,399965.8797,414018.4955,428564.8434,443622.2705,459208.7333,475342.8193,492043.7689,509331.4986,527227,545748.096,564920.2266
Matamèye,213114.2676,220601.9386,228352.6855,236375.7512,244680.7037,253277.4468,262176.2325,271387.6728,280923,290791.5692,301007.0771
Mirriah,531229.5857,549894.0909,569214.3649,589213.4477,609915.1891,631344.2765,653526.265,676487.6074,700256,724855.6681,750319.8477
Tanout,213797.0803,221308.7416,229084.3216,237133.0931,245464.6544,254088.9412,263016.2384,272257.192,281823,291723.258,301971.496
Zinder,261171.3735,270347.5086,279846.043,289678.304,299856.017,310391.3191,321296.7742,332585.3874,344271,356364.8478,368883.9449
Niamey I,628696.1678,650785.1162,673650.1495,697318.5353,721818.4988,747179.2571,773431.0539,800605.1955,828734,857847.5164,887983.6996
