Parameter,median_value,upper_95,lower_95,upper_50,lower_50
beta[1],9.660168591867215e-6,1.2642546571013989e-5,7.00930602521527e-6,1.0663701161339e-5,8.733471560887912e-6
beta[2],8.706890682526447e-6,1.0976094935587438e-5,6.584056410346313e-6,9.442221307504815e-6,7.981339880211352e-6
beta[3],7.677879111045946e-6,9.6168099156761e-6,6.059127089443257e-6,8.320087196300124e-6,7.087809404059066e-6
beta[4],6.45087513835679e-6,7.892852415496451e-6,5.270255996492101e-6,6.889220014736794e-6,5.981051919828086e-6
beta[5],5.209800434641007e-6,6.811044675887257e-6,4.166881375485951e-6,5.702120368042667e-6,4.804266096888568e-6
beta[6],4.247877628158243e-6,5.646646347500103e-6,3.0818815606880314e-6,4.6461360008968355e-6,3.834833922321751e-6
beta[7],3.3850616447130084e-6,4.446016900963828e-6,2.641416199928543e-6,3.6967601677435958e-6,3.0924612978833488e-6
beta[8],2.7408166499196176e-6,3.5075041331746636e-6,2.0929167454732356e-6,2.9937116955181504e-6,2.5155165296235687e-6
beta[9],2.3214544631472052e-6,3.0605743550488105e-6,1.7134348452673342e-6,2.5363746923682527e-6,2.119795060612477e-6
beta[10],2.0909131645798894e-6,2.8295361576595875e-6,1.3961113603055534e-6,2.3174189946201117e-6,1.8662759725676632e-6
beta[11],1.9193755572383753e-6,2.732858083026287e-6,1.2124553981168897e-6,2.1767097379361653e-6,1.6739322957288915e-6
beta[12],1.7832145714314095e-6,2.666064557101636e-6,1.101841482748798e-6,2.0445038474978154e-6,1.542535320937713e-6
beta[13],1.7091766248935215e-6,2.6534418123553163e-6,1.0318517324408119e-6,2.0071452965171935e-6,1.4558813306003763e-6
beta[14],1.6722042908384893e-6,2.7186227852014957e-6,9.968476352926997e-7,2.0018249480884827e-6,1.4164578507181432e-6
beta[15],1.6674062357007476e-6,2.629397564700804e-6,9.75455827648751e-7,2.0190203490458267e-6,1.3955607775024567e-6
beta[16],1.7080685245285777e-6,2.6777665559306545e-6,9.414423295233861e-7,2.0453918836315006e-6,1.4056244478394677e-6
beta[17],1.7709584113560724e-6,2.7937760118541274e-6,9.594469207432994e-7,2.122379222012911e-6,1.446345839322683e-6
beta[18],1.861322288739391e-6,2.923587399839978e-6,9.909688057175546e-7,2.2253815510571866e-6,1.5157441066052796e-6
beta[19],1.956443596926602e-6,3.1022767000464836e-6,1.0163433491215148e-6,2.3458877884474083e-6,1.58978420694232e-6
beta[20],2.071098048655905e-6,3.357884879130586e-6,1.015931340467471e-6,2.5118846908341256e-6,1.6694801038734602e-6
beta[21],2.2065627709695194e-6,3.6081606998754745e-6,1.0708352771821586e-6,2.6626288455093913e-6,1.7582043917084955e-6
beta[22],2.3266101187008642e-6,3.9202365135868125e-6,1.1494285325466549e-6,2.8296311882550764e-6,1.8792585453324734e-6
beta[23],2.459900071059617e-6,4.181360007204827e-6,1.2205965242265941e-6,2.997400628164064e-6,1.9890405161968767e-6
beta[24],2.609712022288338e-6,4.413188547489992e-6,1.3232807561749485e-6,3.1488349806917588e-6,2.123493426715109e-6
beta[25],2.732197494523211e-6,4.63482690336321e-6,1.4048683943915768e-6,3.330221541191461e-6,2.22096990176673e-6
beta[26],2.8462600463924425e-6,4.735564657000496e-6,1.5199775492429994e-6,3.4320300924077505e-6,2.325114774455315e-6
beta[27],2.9397656885074518e-6,4.819331117656946e-6,1.6045525036866564e-6,3.518736608374486e-6,2.4333476045060043e-6
beta[28],3.0160796854344226e-6,4.776535507407154e-6,1.6936635946009956e-6,3.579371209452713e-6,2.5181314105960997e-6
beta[29],3.053281186183002e-6,4.707764473023541e-6,1.7795919163951898e-6,3.5692674991123625e-6,2.567650492756593e-6
beta[30],3.0489586608154864e-6,4.539066924223204e-6,1.834305860231053e-6,3.4966987706160525e-6,2.595938000393135e-6
beta[31],2.990112359655966e-6,4.446909890461602e-6,1.8213998619368295e-6,3.4431764968416244e-6,2.5638184361352884e-6
beta[32],2.894967895068816e-6,4.2658501109622e-6,1.7925287764872322e-6,3.3400574611795034e-6,2.5107940243855487e-6
beta[33],2.7840011966382085e-6,4.114202187634922e-6,1.7280213172306616e-6,3.2157844808441e-6,2.3865107586299784e-6
beta[34],2.649508011801868e-6,3.963133162301881e-6,1.6459065570943914e-6,3.067040075607685e-6,2.265274096329828e-6
beta[35],2.5020654722672243e-6,3.7948905500835764e-6,1.5575734104289684e-6,2.90815764748012e-6,2.135000081477444e-6
beta[36],2.3591620617770643e-6,3.689433805991726e-6,1.4448330407447363e-6,2.767461128486362e-6,1.9972206794130635e-6
beta[37],2.2183948435163846e-6,3.5271857525123256e-6,1.3249288617916497e-6,2.621504924844308e-6,1.868035168708091e-6
beta[38],2.103717002053994e-6,3.4513086433197863e-6,1.2365626478837695e-6,2.5006836662963775e-6,1.7562743602270018e-6
beta[39],2.0066991626562162e-6,3.3031548912423543e-6,1.164042881234546e-6,2.395304576636552e-6,1.6644021931214066e-6
beta[40],1.9482430610959524e-6,3.26867279537939e-6,1.119291526684607e-6,2.3388795624732885e-6,1.599677822166129e-6
beta[41],1.91283845842722e-6,3.2645743789358334e-6,1.0786033223208657e-6,2.299672493836917e-6,1.5732660486352818e-6
beta[42],1.914896741108476e-6,3.2562165069529483e-6,1.048324027296737e-6,2.3137682569418314e-6,1.5744449728916587e-6
beta[43],1.95329349336939e-6,3.2607850887247336e-6,1.0666412115593414e-6,2.341128759612027e-6,1.615583294742709e-6
beta[44],2.0139460385358346e-6,3.3031086147658934e-6,1.1079827626386586e-6,2.4006769414327024e-6,1.6641211863946897e-6
beta[45],2.0665554993511666e-6,3.3161533156136308e-6,1.1485313128093611e-6,2.4529950868033547e-6,1.7208584748894223e-6
beta[46],2.1312023576125666e-6,3.307215745152667e-6,1.2046734425830334e-6,2.512334388336984e-6,1.7824856728000667e-6
beta[47],2.201009607866993e-6,3.3954880228827493e-6,1.2698428956412037e-6,2.5809677759291664e-6,1.8561669250630475e-6
beta[48],2.2795680190507765e-6,3.514962129399959e-6,1.3460385607912702e-6,2.6652292078929736e-6,1.9242434309646222e-6
beta[49],2.3611480087881945e-6,3.5857183986298197e-6,1.3975739016288255e-6,2.738243799734776e-6,1.9999766511004293e-6
