"","city","vacc_speed","metric","AUC"
"1","Agadez",1.5e-05,"Variance",0.768448
"2","Agadez",1.5e-05,"Autocovar.",0.751838
"3","Agadez",1.5e-05,"Autocorr.",0.705646
"4","Agadez",1.5e-05,"Decay time",0.705316
"5","Agadez",1.5e-05,"Mean",0.78452
"6","Agadez",1.5e-05,"Index of dis.",0.737084
"7","Agadez",1.5e-05,"Coeff. var.",0.496444
"8","Agadez",1.5e-05,"Skewness",0.554496
"9","Agadez",1.5e-05,"Kurtosis",0.520586
"10","Agadez",1e-04,"Variance",0.529658
"11","Agadez",1e-04,"Autocovar.",0.522054
"12","Agadez",1e-04,"Autocorr.",0.51713
"13","Agadez",1e-04,"Decay time",0.517392
"14","Agadez",1e-04,"Mean",0.52298
"15","Agadez",1e-04,"Index of dis.",0.515418
"16","Agadez",1e-04,"Coeff. var.",0.50238
"17","Agadez",1e-04,"Skewness",0.51185
"18","Agadez",1e-04,"Kurtosis",0.525078
"19","Agadez",3.2e-05,"Variance",0.586058
"20","Agadez",3.2e-05,"Autocovar.",0.582834
"21","Agadez",3.2e-05,"Autocorr.",0.55808
"22","Agadez",3.2e-05,"Decay time",0.559256
"23","Agadez",3.2e-05,"Mean",0.607244
"24","Agadez",3.2e-05,"Index of dis.",0.574252
"25","Agadez",3.2e-05,"Coeff. var.",0.519054
"26","Agadez",3.2e-05,"Skewness",0.498522
"27","Agadez",3.2e-05,"Kurtosis",0.5103
"28","Agadez",4.9e-05,"Variance",0.61899
"29","Agadez",4.9e-05,"Autocovar.",0.603222
"30","Agadez",4.9e-05,"Autocorr.",0.556982
"31","Agadez",4.9e-05,"Decay time",0.556858
"32","Agadez",4.9e-05,"Mean",0.646748
"33","Agadez",4.9e-05,"Index of dis.",0.59118
"34","Agadez",4.9e-05,"Coeff. var.",0.536076
"35","Agadez",4.9e-05,"Skewness",0.52537
"36","Agadez",4.9e-05,"Kurtosis",0.532128
"37","Agadez",6.6e-05,"Variance",0.504678
"38","Agadez",6.6e-05,"Autocovar.",0.507686
"39","Agadez",6.6e-05,"Autocorr.",0.50701
"40","Agadez",6.6e-05,"Decay time",0.509136
"41","Agadez",6.6e-05,"Mean",0.514108
"42","Agadez",6.6e-05,"Index of dis.",0.5069
