"","city","susc_discount","bandwidth"
"1","Agadez",0,545
"2","Agadez",0.1,492
"3","Agadez",0.2,440
"4","Agadez",0.3,414
"5","Agadez",0.4,336
"6","Agadez",0.5,284
"7","Maradi",0,180
"8","Maradi",0.1,153
"9","Maradi",0.2,127
"10","Maradi",0.3,101
"11","Maradi",0.4,101
"12","Maradi",0.5,75
"13","Niamey",0,101
"14","Niamey",0.1,75
"15","Niamey",0.2,49
"16","Niamey",0.3,23
"17","Niamey",0.4,23
"18","Niamey",0.5,23
"19","Zinder",0,258
"20","Zinder",0.1,232
"21","Zinder",0.2,180
"22","Zinder",0.3,127
"23","Zinder",0.4,75
"24","Zinder",0.5,23
