"","city","susc_discount","metric","AUC"
"1","Agadez",0.1,"Variance",1
"2","Agadez",0.1,"Autocovar.",1
"3","Agadez",0.1,"Autocorr.",0.9824
"4","Agadez",0.1,"Decay time",0.9824
"5","Agadez",0.1,"Mean",1
"6","Agadez",0.1,"Index of dis.",0.9868
"7","Agadez",0.1,"Coeff. var.",0.604
"8","Agadez",0.1,"Skewness",0.7416
"9","Agadez",0.1,"Kurtosis",0.7352
"10","Agadez",0.2,"Variance",1
"11","Agadez",0.2,"Autocovar.",0.9956
"12","Agadez",0.2,"Autocorr.",0.972
"13","Agadez",0.2,"Decay time",0.972
"14","Agadez",0.2,"Mean",1
"15","Agadez",0.2,"Index of dis.",0.9924
"16","Agadez",0.2,"Coeff. var.",0.6316
"17","Agadez",0.2,"Skewness",0.88
"18","Agadez",0.2,"Kurtosis",0.8596
"19","Agadez",0.3,"Variance",0.9916
"20","Agadez",0.3,"Autocovar.",0.97
"21","Agadez",0.3,"Autocorr.",0.92
"22","Agadez",0.3,"Decay time",0.92
"23","Agadez",0.3,"Mean",0.998
"24","Agadez",0.3,"Index of dis.",0.9372
"25","Agadez",0.3,"Coeff. var.",0.476
"26","Agadez",0.3,"Skewness",0.6704
"27","Agadez",0.3,"Kurtosis",0.644
"28","Agadez",0.4,"Variance",0.974
"29","Agadez",0.4,"Autocovar.",0.9692
"30","Agadez",0.4,"Autocorr.",0.9452
"31","Agadez",0.4,"Decay time",0.9452
"32","Agadez",0.4,"Mean",0.9932
"33","Agadez",0.4,"Index of dis.",0.9328
"34","Agadez",0.4,"Coeff. var.",0.5292
"35","Agadez",0.4,"Skewness",0.7264
"36","Agadez",0.4,"Kurtosis",0.7052
"37","Agadez",0.5,"Variance",0.9144
"38","Agadez",0.5,"Autocovar.",0.9028
"39","Agadez",0.5,"Autocorr.",0.8512
"40","Agadez",0.5,"Decay time",0.8512
"41","Agadez",0.5,"Mean",0.9514
"42","Agadez",0.5,"Index of dis.",0.8636
"43","Agadez",0.5,"Coeff. var.",0.5476
"44","Agadez",0.5,"Skewness",0.6892
"45","Agadez",0.5,"Kurtosis",0.6684
"46","Agadez",1e-04,"Variance",1
"47","Agadez",1e-04,"Autocovar.",0.9996
"48","Agadez",1e-04,"Autocorr.",0.9948
"49","Agadez",1e-04,"Decay time",0.9948
"50","Agadez",1e-04,"Mean",1
"51","Agadez",1e-04,"Index of dis.",0.9872
"52","Agadez",1e-04,"Coeff. var.",0.7092
"53","Agadez",1e-04,"Skewness",0.7756
"54","Agadez",1e-04,"Kurtosis",0.7756
"55","Maradi",0.1,"Variance",0.9972
"56","Maradi",0.1,"Autocovar.",0.9604
"57","Maradi",0.1,"Autocorr.",0.9088
"58","Maradi",0.1,"Decay time",0.9086
"59","Maradi",0.1,"Mean",1
"60","Maradi",0.1,"Index of dis.",0.9144
"61","Maradi",0.1,"Coeff. var.",0.848
"62","Maradi",0.1,"Skewness",0.5084
"63","Maradi",0.1,"Kurtosis",0.534
"64","Maradi",0.2,"Variance",0.9778
"65","Maradi",0.2,"Autocovar.",0.9568
"66","Maradi",0.2,"Autocorr.",0.922
"67","Maradi",0.2,"Decay time",0.922
"68","Maradi",0.2,"Mean",0.9894
"69","Maradi",0.2,"Index of dis.",0.8948
"70","Maradi",0.2,"Coeff. var.",0.7172
"71","Maradi",0.2,"Skewness",0.512
"72","Maradi",0.2,"Kurtosis",0.508
"73","Maradi",0.3,"Variance",0.9416
"74","Maradi",0.3,"Autocovar.",0.9248
"75","Maradi",0.3,"Autocorr.",0.8632
"76","Maradi",0.3,"Decay time",0.8632
"77","Maradi",0.3,"Mean",0.9628
"78","Maradi",0.3,"Index of dis.",0.8428
"79","Maradi",0.3,"Coeff. var.",0.7964
"80","Maradi",0.3,"Skewness",0.544
"81","Maradi",0.3,"Kurtosis",0.5396
"82","Maradi",0.4,"Variance",0.9464
"83","Maradi",0.4,"Autocovar.",0.944
"84","Maradi",0.4,"Autocorr.",0.9088
"85","Maradi",0.4,"Decay time",0.9088
"86","Maradi",0.4,"Mean",0.9792
"87","Maradi",0.4,"Index of dis.",0.8152
"88","Maradi",0.4,"Coeff. var.",0.7664
"89","Maradi",0.4,"Skewness",0.5288
"90","Maradi",0.4,"Kurtosis",0.514
"91","Maradi",0.5,"Variance",0.7392
"92","Maradi",0.5,"Autocovar.",0.7876
"93","Maradi",0.5,"Autocorr.",0.7636
"94","Maradi",0.5,"Decay time",0.7624
"95","Maradi",0.5,"Mean",0.7466
"96","Maradi",0.5,"Index of dis.",0.7036
"97","Maradi",0.5,"Coeff. var.",0.6024
"98","Maradi",0.5,"Skewness",0.5772
"99","Maradi",0.5,"Kurtosis",0.5832
"100","Maradi",1e-04,"Variance",0.9932
"101","Maradi",1e-04,"Autocovar.",0.9792
"102","Maradi",1e-04,"Autocorr.",0.9684
"103","Maradi",1e-04,"Decay time",0.9682
"104","Maradi",1e-04,"Mean",0.9916
"105","Maradi",1e-04,"Index of dis.",0.9484
"106","Maradi",1e-04,"Coeff. var.",0.804
"107","Maradi",1e-04,"Skewness",0.5348
"108","Maradi",1e-04,"Kurtosis",0.5356
"109","Niamey",0.1,"Variance",0.9868
"110","Niamey",0.1,"Autocovar.",0.9824
"111","Niamey",0.1,"Autocorr.",0.8288
"112","Niamey",0.1,"Decay time",0.8288
"113","Niamey",0.1,"Mean",0.925
"114","Niamey",0.1,"Index of dis.",0.9972
"115","Niamey",0.1,"Coeff. var.",0.9992
"116","Niamey",0.1,"Skewness",0.9976
"117","Niamey",0.1,"Kurtosis",0.9884
"118","Niamey",0.2,"Variance",0.7944
"119","Niamey",0.2,"Autocovar.",0.7796
"120","Niamey",0.2,"Autocorr.",0.6572
"121","Niamey",0.2,"Decay time",0.6572
"122","Niamey",0.2,"Mean",0.7036
"123","Niamey",0.2,"Index of dis.",0.8524
"124","Niamey",0.2,"Coeff. var.",0.9456
"125","Niamey",0.2,"Skewness",0.9188
"126","Niamey",0.2,"Kurtosis",0.8976
"127","Niamey",0.3,"Variance",0.9104
"128","Niamey",0.3,"Autocovar.",0.9084
"129","Niamey",0.3,"Autocorr.",0.848
"130","Niamey",0.3,"Decay time",0.848
"131","Niamey",0.3,"Mean",0.9008
"132","Niamey",0.3,"Index of dis.",0.906
"133","Niamey",0.3,"Coeff. var.",0.4848
"134","Niamey",0.3,"Skewness",0.4668
"135","Niamey",0.3,"Kurtosis",0.5348
"136","Niamey",0.4,"Variance",0.4836
"137","Niamey",0.4,"Autocovar.",0.5868
"138","Niamey",0.4,"Autocorr.",0.7316
"139","Niamey",0.4,"Decay time",0.7316
"140","Niamey",0.4,"Mean",0.7716
"141","Niamey",0.4,"Index of dis.",0.6752
"142","Niamey",0.4,"Coeff. var.",0.9608
"143","Niamey",0.4,"Skewness",0.6256
"144","Niamey",0.4,"Kurtosis",0.512
"145","Niamey",0.5,"Variance",0.5636
"146","Niamey",0.5,"Autocovar.",0.5844
"147","Niamey",0.5,"Autocorr.",0.7012
"148","Niamey",0.5,"Decay time",0.7012
"149","Niamey",0.5,"Mean",0.4768
"150","Niamey",0.5,"Index of dis.",0.6164
"151","Niamey",0.5,"Coeff. var.",0.7784
"152","Niamey",0.5,"Skewness",0.5064
"153","Niamey",0.5,"Kurtosis",0.5208
"154","Niamey",1e-04,"Variance",0.9076
"155","Niamey",1e-04,"Autocovar.",0.8784
"156","Niamey",1e-04,"Autocorr.",0.7116
"157","Niamey",1e-04,"Decay time",0.7116
"158","Niamey",1e-04,"Mean",0.611
"159","Niamey",1e-04,"Index of dis.",0.9636
"160","Niamey",1e-04,"Coeff. var.",1
"161","Niamey",1e-04,"Skewness",1
"162","Niamey",1e-04,"Kurtosis",1
"163","Zinder",0.1,"Variance",0.9848
"164","Zinder",0.1,"Autocovar.",0.9176
"165","Zinder",0.1,"Autocorr.",0.8712
"166","Zinder",0.1,"Decay time",0.8712
"167","Zinder",0.1,"Mean",0.9914
"168","Zinder",0.1,"Index of dis.",0.8632
"169","Zinder",0.1,"Coeff. var.",0.83
"170","Zinder",0.1,"Skewness",0.5076
"171","Zinder",0.1,"Kurtosis",0.5416
"172","Zinder",0.2,"Variance",0.8928
"173","Zinder",0.2,"Autocovar.",0.874
"174","Zinder",0.2,"Autocorr.",0.8404
"175","Zinder",0.2,"Decay time",0.8404
"176","Zinder",0.2,"Mean",0.9246
"177","Zinder",0.2,"Index of dis.",0.7632
"178","Zinder",0.2,"Coeff. var.",0.7636
"179","Zinder",0.2,"Skewness",0.5028
"180","Zinder",0.2,"Kurtosis",0.4772
"181","Zinder",0.3,"Variance",0.8928
"182","Zinder",0.3,"Autocovar.",0.8648
"183","Zinder",0.3,"Autocorr.",0.8004
"184","Zinder",0.3,"Decay time",0.8012
"185","Zinder",0.3,"Mean",0.9352
"186","Zinder",0.3,"Index of dis.",0.7916
"187","Zinder",0.3,"Coeff. var.",0.7632
"188","Zinder",0.3,"Skewness",0.5456
"189","Zinder",0.3,"Kurtosis",0.5476
"190","Zinder",0.4,"Variance",0.547
"191","Zinder",0.4,"Autocovar.",0.5452
"192","Zinder",0.4,"Autocorr.",0.5472
"193","Zinder",0.4,"Decay time",0.5466
"194","Zinder",0.4,"Mean",0.5262
"195","Zinder",0.4,"Index of dis.",0.5866
"196","Zinder",0.4,"Coeff. var.",0.5554
"197","Zinder",0.4,"Skewness",0.5424
"198","Zinder",0.4,"Kurtosis",0.528
"199","Zinder",0.5,"Variance",0.5046
"200","Zinder",0.5,"Autocovar.",0.5746
"201","Zinder",0.5,"Autocorr.",0.5564
"202","Zinder",0.5,"Decay time",0.4184
"203","Zinder",0.5,"Mean",0.537
"204","Zinder",0.5,"Index of dis.",0.521
"205","Zinder",0.5,"Coeff. var.",0.5664
"206","Zinder",0.5,"Skewness",0.471
"207","Zinder",0.5,"Kurtosis",0.4914
"208","Zinder",1e-04,"Variance",0.994
"209","Zinder",1e-04,"Autocovar.",0.9584
"210","Zinder",1e-04,"Autocorr.",0.9256
"211","Zinder",1e-04,"Decay time",0.9238
"212","Zinder",1e-04,"Mean",1
"213","Zinder",1e-04,"Index of dis.",0.8928
"214","Zinder",1e-04,"Coeff. var.",0.9388
"215","Zinder",1e-04,"Skewness",0.5336
"216","Zinder",1e-04,"Kurtosis",0.5996
