"","city","susc_discount","metric","AUC"
"1","Agadez",0.1,"Variance",0.549412
"2","Agadez",0.1,"Autocovar.",0.631806
"3","Agadez",0.1,"Autocorr.",0.60689
"4","Agadez",0.1,"Decay time",0.605752
"5","Agadez",0.1,"Mean",0.606848
"6","Agadez",0.1,"Index of dis.",0.570366
"7","Agadez",0.1,"Coeff. var.",0.667166
"8","Agadez",0.1,"Skewness",0.598844
"9","Agadez",0.1,"Kurtosis",0.578364
"10","Agadez",0.2,"Variance",0.551924
"11","Agadez",0.2,"Autocovar.",0.587424
"12","Agadez",0.2,"Autocorr.",0.57889
"13","Agadez",0.2,"Decay time",0.580272
"14","Agadez",0.2,"Mean",0.575328
"15","Agadez",0.2,"Index of dis.",0.53434
"16","Agadez",0.2,"Coeff. var.",0.627036
"17","Agadez",0.2,"Skewness",0.62604
"18","Agadez",0.2,"Kurtosis",0.59466
"19","Agadez",0.3,"Variance",0.540544
"20","Agadez",0.3,"Autocovar.",0.524022
"21","Agadez",0.3,"Autocorr.",0.539174
"22","Agadez",0.3,"Decay time",0.543812
"23","Agadez",0.3,"Mean",0.550196
"24","Agadez",0.3,"Index of dis.",0.517104
"25","Agadez",0.3,"Coeff. var.",0.586418
"26","Agadez",0.3,"Skewness",0.622516
"27","Agadez",0.3,"Kurtosis",0.585726
"28","Agadez",0.4,"Variance",0.52946
"29","Agadez",0.4,"Autocovar.",0.526488
"30","Agadez",0.4,"Autocorr.",0.540548
"31","Agadez",0.4,"Decay time",0.543244
"32","Agadez",0.4,"Mean",0.56948
"33","Agadez",0.4,"Index of dis.",0.544804
"34","Agadez",0.4,"Coeff. var.",0.629532
"35","Agadez",0.4,"Skewness",0.580322
"36","Agadez",0.4,"Kurtosis",0.555312
"37","Agadez",0.5,"Variance",0.499038
"38","Agadez",0.5,"Autocovar.",0.515532
"39","Agadez",0.5,"Autocorr.",0.5277
"40","Agadez",0.5,"Decay time",0.529244
"41","Agadez",0.5,"Mean",0.499116
"42","Agadez",0.5,"Index of dis.",0.514314
"43","Agadez",0.5,"Coeff. var.",0.5203
"44","Agadez",0.5,"Skewness",0.552664
"45","Agadez",0.5,"Kurtosis",0.538184
"46","Agadez",1e-04,"Variance",0.50942
"47","Agadez",1e-04,"Autocovar.",0.669184
"48","Agadez",1e-04,"Autocorr.",0.61444
"49","Agadez",1e-04,"Decay time",0.615232
"50","Agadez",1e-04,"Mean",0.580632
"51","Agadez",1e-04,"Index of dis.",0.649276
"52","Agadez",1e-04,"Coeff. var.",0.70155
"53","Agadez",1e-04,"Skewness",0.499616
"54","Agadez",1e-04,"Kurtosis",0.495336
"55","Maradi",0.1,"Variance",0.89393
"56","Maradi",0.1,"Autocovar.",0.93141
"57","Maradi",0.1,"Autocorr.",0.90156
"58","Maradi",0.1,"Decay time",0.905328
"59","Maradi",0.1,"Mean",0.886364
"60","Maradi",0.1,"Index of dis.",0.817006
"61","Maradi",0.1,"Coeff. var.",0.608632
"62","Maradi",0.1,"Skewness",0.89413
"63","Maradi",0.1,"Kurtosis",0.828098
"64","Maradi",0.2,"Variance",0.894826
"65","Maradi",0.2,"Autocovar.",0.928338
"66","Maradi",0.2,"Autocorr.",0.913188
"67","Maradi",0.2,"Decay time",0.915812
"68","Maradi",0.2,"Mean",0.89852
"69","Maradi",0.2,"Index of dis.",0.82973
"70","Maradi",0.2,"Coeff. var.",0.580298
"71","Maradi",0.2,"Skewness",0.898866
"72","Maradi",0.2,"Kurtosis",0.838018
"73","Maradi",0.3,"Variance",0.887796
"74","Maradi",0.3,"Autocovar.",0.893706
"75","Maradi",0.3,"Autocorr.",0.851424
"76","Maradi",0.3,"Decay time",0.855842
"77","Maradi",0.3,"Mean",0.896588
"78","Maradi",0.3,"Index of dis.",0.798866
"79","Maradi",0.3,"Coeff. var.",0.63085
"80","Maradi",0.3,"Skewness",0.769834
"81","Maradi",0.3,"Kurtosis",0.704302
"82","Maradi",0.4,"Variance",0.864098
"83","Maradi",0.4,"Autocovar.",0.845924
"84","Maradi",0.4,"Autocorr.",0.811188
"85","Maradi",0.4,"Decay time",0.81329
"86","Maradi",0.4,"Mean",0.908316
"87","Maradi",0.4,"Index of dis.",0.70748
"88","Maradi",0.4,"Coeff. var.",0.677776
"89","Maradi",0.4,"Skewness",0.888734
"90","Maradi",0.4,"Kurtosis",0.856264
"91","Maradi",0.5,"Variance",0.819524
"92","Maradi",0.5,"Autocovar.",0.727868
"93","Maradi",0.5,"Autocorr.",0.605642
"94","Maradi",0.5,"Decay time",0.600423291472725
"95","Maradi",0.5,"Mean",0.876674
"96","Maradi",0.5,"Index of dis.",0.563356
"97","Maradi",0.5,"Coeff. var.",0.79723
"98","Maradi",0.5,"Skewness",0.513068
"99","Maradi",0.5,"Kurtosis",0.542266
"100","Maradi",1e-04,"Variance",0.92075
"101","Maradi",1e-04,"Autocovar.",0.9516
"102","Maradi",1e-04,"Autocorr.",0.929358
"103","Maradi",1e-04,"Decay time",0.935052
"104","Maradi",1e-04,"Mean",0.901224
"105","Maradi",1e-04,"Index of dis.",0.86522
"106","Maradi",1e-04,"Coeff. var.",0.616996
"107","Maradi",1e-04,"Skewness",0.838262
"108","Maradi",1e-04,"Kurtosis",0.77971
"109","Niamey",0.1,"Variance",0.995276
"110","Niamey",0.1,"Autocovar.",0.994816
"111","Niamey",0.1,"Autocorr.",0.73948
"112","Niamey",0.1,"Decay time",0.714776209677419
"113","Niamey",0.1,"Mean",0.990526
"114","Niamey",0.1,"Index of dis.",0.787592
"115","Niamey",0.1,"Coeff. var.",0.926196
"116","Niamey",0.1,"Skewness",0.849624
"117","Niamey",0.1,"Kurtosis",0.82099
"118","Niamey",0.2,"Variance",0.964568
"119","Niamey",0.2,"Autocovar.",0.946788
"120","Niamey",0.2,"Autocorr.",0.508484
"121","Niamey",0.2,"Decay time",0.535954
"122","Niamey",0.2,"Mean",0.988782
"123","Niamey",0.2,"Index of dis.",0.580458
"124","Niamey",0.2,"Coeff. var.",0.973496
"125","Niamey",0.2,"Skewness",0.90678
"126","Niamey",0.2,"Kurtosis",0.587328
"127","Niamey",0.3,"Variance",0.622618
"128","Niamey",0.3,"Autocovar.",0.598068
"129","Niamey",0.3,"Autocorr.",0.845054
"130","Niamey",0.3,"Decay time",0.880127049180328
"131","Niamey",0.3,"Mean",0.9986
"132","Niamey",0.3,"Index of dis.",0.964474
"133","Niamey",0.3,"Coeff. var.",0.997122
"134","Niamey",0.3,"Skewness",0.554248
"135","Niamey",0.3,"Kurtosis",0.916344
"136","Niamey",0.4,"Variance",0.697038
"137","Niamey",0.4,"Autocovar.",0.819024
"138","Niamey",0.4,"Autocorr.",0.791612
"139","Niamey",0.4,"Decay time",0.846883116883117
"140","Niamey",0.4,"Mean",0.909134
"141","Niamey",0.4,"Index of dis.",0.91343
"142","Niamey",0.4,"Coeff. var.",0.94243
"143","Niamey",0.4,"Skewness",0.521686
"144","Niamey",0.4,"Kurtosis",0.930972
"145","Niamey",0.5,"Variance",0.67978
"146","Niamey",0.5,"Autocovar.",0.744206
"147","Niamey",0.5,"Autocorr.",0.775878
"148","Niamey",0.5,"Decay time",0.834434310240762
"149","Niamey",0.5,"Mean",0.981848
"150","Niamey",0.5,"Index of dis.",0.893774
"151","Niamey",0.5,"Coeff. var.",0.951274
"152","Niamey",0.5,"Skewness",0.565998
"153","Niamey",0.5,"Kurtosis",0.965756
"154","Niamey",1e-04,"Variance",1
"155","Niamey",1e-04,"Autocovar.",1
"156","Niamey",1e-04,"Autocorr.",0.981702
"157","Niamey",1e-04,"Decay time",0.979504016064257
"158","Niamey",1e-04,"Mean",0.988918
"159","Niamey",1e-04,"Index of dis.",0.974472
"160","Niamey",1e-04,"Coeff. var.",0.574504
"161","Niamey",1e-04,"Skewness",0.784268
"162","Niamey",1e-04,"Kurtosis",0.953146
"163","Zinder",0.1,"Variance",0.634364
"164","Zinder",0.1,"Autocovar.",0.671428
"165","Zinder",0.1,"Autocorr.",0.609314
"166","Zinder",0.1,"Decay time",0.619564
"167","Zinder",0.1,"Mean",0.60108
"168","Zinder",0.1,"Index of dis.",0.6354
"169","Zinder",0.1,"Coeff. var.",0.525132
"170","Zinder",0.1,"Skewness",0.503532
"171","Zinder",0.1,"Kurtosis",0.524264
"172","Zinder",0.2,"Variance",0.570808
"173","Zinder",0.2,"Autocovar.",0.580596
"174","Zinder",0.2,"Autocorr.",0.546816
"175","Zinder",0.2,"Decay time",0.552112
"176","Zinder",0.2,"Mean",0.541928
"177","Zinder",0.2,"Index of dis.",0.592504
"178","Zinder",0.2,"Coeff. var.",0.5198
"179","Zinder",0.2,"Skewness",0.596118
"180","Zinder",0.2,"Kurtosis",0.554514
"181","Zinder",0.3,"Variance",0.527556
"182","Zinder",0.3,"Autocovar.",0.530484
"183","Zinder",0.3,"Autocorr.",0.517338
"184","Zinder",0.3,"Decay time",0.527512
"185","Zinder",0.3,"Mean",0.58748
"186","Zinder",0.3,"Index of dis.",0.589382
"187","Zinder",0.3,"Coeff. var.",0.6522
"188","Zinder",0.3,"Skewness",0.570394
"189","Zinder",0.3,"Kurtosis",0.54432
"190","Zinder",0.4,"Variance",0.58817
"191","Zinder",0.4,"Autocovar.",0.57707
"192","Zinder",0.4,"Autocorr.",0.509516
"193","Zinder",0.4,"Decay time",0.517246624910755
"194","Zinder",0.4,"Mean",0.53532
"195","Zinder",0.4,"Index of dis.",0.560834
