"do_grid","loglik","loglik_se","value","parameter"
NA,NA,NA,NA,NA
241,-7933.76603754433,20.3018322226003,0.309,"rho"
237,-7792.76354849827,4.83519174188986,0.284,"rho"
238,-5195.48994359539,26.8991610680255,0.29,"rho"
236,-4785.88448681257,16.9403533200579,0.277,"rho"
191,-6771.95570527041,28.6103159141098,0.624,"rho"
193,-6757.32136008663,72.3504099367767,0.636,"rho"
190,-6192.18653748043,4.68629941454413,0.617,"rho"
296,-6925.16833186069,26.0905138653968,0.655,"rho"
280,-7038.05824572597,4.97020298862996,0.554,"rho"
95,-7031.39562606378,2.2766777451432,0.649,"rho"
86,-7107.80598272502,25.668871256198,0.592,"rho"
78,-7085.84867020918,31.1207814299888,0.542,"rho"
99,-6901.71651726186,53.2942020365996,0.674,"rho"
178,-6807.67303293128,15.513422713475,0.542,"rho"
85,-6873.54615965416,15.0641080124082,0.586,"rho"
77,-7176.87559485266,24.2452995326101,0.536,"rho"
76,-6995.6217541517,87.0561876599008,0.529,"rho"
74,-7254.64158368621,13.0690190330623,0.517,"rho"
179,-7165.95440028021,62.7188828262221,0.548,"rho"
274,-6706.90175821548,21.8531566753496,0.517,"rho"
47,-7702.17484742304,1.28012576129387,0.347,"rho"
174,-7190.72260538774,16.7277687587426,0.517,"rho"
180,-7312.38991217372,10.9234088226103,0.554,"rho"
97,-6591.69804855164,11.7934881316828,0.661,"rho"
166,-7257.84477886318,46.5888582684501,0.466,"rho"
159,-6795.3467980814,35.6239147530683,0.422,"rho"
146,-8033.5151943186,15.0090230477946,0.34,"rho"
290,-6812.53494770098,5.39459727641566,0.617,"rho"
293,-7195.17207063313,33.9672617921766,0.636,"rho"
143,-6725.03839885829,50.8725940357109,0.321,"rho"
289,-7297.05418532815,56.6774109434596,0.611,"rho"
295,-6422.47984949628,15.7825036814015,0.649,"rho"
144,-6722.62036382392,25.4993550028691,0.328,"rho"
155,-7783.24437396984,8.88801441117399,0.397,"rho"
287,-6617.41543404028,2.95715503963569,0.599,"rho"
54,-7664.02301787534,20.410955801065,0.391,"rho"
154,-7100.61673985925,1.36620203413577,0.391,"rho"
147,-7313.68422800869,19.5478951421284,0.347,"rho"
52,-7111.71818054646,12.9000171793483,0.378,"rho"
138,-7379.60295442845,14.5551763017598,0.29,"rho"
55,-7704.55590845372,10.4140020164156,0.397,"rho"
33,-4008.19553211046,1.05796395760386,0.259,"rho"
148,-7969.2201574122,17.2887174934885,0.353,"rho"
135,-6720.71679995479,5.2226394318204,0.271,"rho"
134,-7643.11864856933,12.7744261136922,0.265,"rho"
207,-7585.99573986498,1.26813408962192,0.095,"rho"
28,-3008.80708619902,9.14232412617006,0.227,"rho"
39,-7717.24165146313,18.4842350761961,0.296,"rho"
204,-8485.9764819655,27.9764369285501,0.076,"rho"
235,-6485.23973974902,10.7977284536462,0.271,"rho"
231,-6787.82426767584,10.9766827048016,0.246,"rho"
253,-7698.97276849248,14.1453229750324,0.384,"rho"
38,-7002.21198413862,8.08544087776218,0.29,"rho"
234,-7003.39435456948,24.266175500471,0.265,"rho"
133,-7713.05182885357,14.217749962237,0.259,"rho"
250,-7050.68901505717,10.490770043668,0.366,"rho"
233,-5182.19677854228,30.972399945282,0.259,"rho"
255,-7670.53251456341,17.6583235315461,0.397,"rho"
24,-2977.56483737453,4.89335749161894,0.202,"rho"
247,-7868.18622622993,40.1893887135228,0.347,"rho"
62,-7314.25482264836,48.6887465154144,0.441,"rho"
205,-6594.53190729669,73.9622537211668,0.082,"rho"
61,-7049.73330265513,18.1975357155008,0.435,"rho"
228,-3270.49347997465,35.7634719887607,0.227,"rho"
225,-3021.87653783676,18.1119914898777,0.208,"rho"
317,-3683.53563413282,93.7052065725659,0.158,"rho"
312,-5328.93516542338,3.38191830709471,0.126,"rho"
19,-4582.07375751542,8.93977434985874,0.17,"rho"
15,-6451.22151327597,13.2511242603257,0.145,"rho"
308,-6490.77961449013,1.51647572663644,0.101,"rho"
111,-7516.7034240145,13.6647845112321,0.12,"rho"
116,-5123.91502842908,5.17224175846298,0.151,"rho"
115,-4895.96344153559,1.73566714942808,0.145,"rho"
110,-5967.76429213612,5.64647112834393,0.114,"rho"
117,-3480.133607434,31.3680690668304,0.158,"rho"
13,-5055.03571335821,26.27579928188,0.133,"rho"
107,-6497.71630621538,6.16368915010894,0.095,"rho"
121,-2924.51959290643,14.7763785155226,0.183,"rho"
7,-6954.40704679046,12.3940747157689,0.095,"rho"
6,-6771.0799207839,25.4066628041354,0.089,"rho"
214,-5326.46689892964,32.7427087111654,0.139,"rho"
213,-7888.04477228771,38.9393288230337,0.133,"rho"
105,-6075.58755661755,15.4858471942026,0.082,"rho"
119,-3522.8198139457,34.2537027720863,0.17,"rho"
4,-4208.39598565781,35.1377654641205,0.076,"rho"
301,-9806.79900403757,50.9763536885957,0.057,"rho"
209,-5694.87674159208,8.94783891245401,0.107,"rho"
210,-5713.28672027438,3.85017992124878,0.114,"rho"
302,-4051.1036037522,36.5975678581419,0.063,"rho"
1,-8917.11516054964,13.3603112550101,0.057,"rho"
198,-6789.63599896872,0.927506384389944,0.668,"rho"
197,-6814.12601991874,19.7407261313095,0.661,"rho"
199,-6650.67252091172,8.33280757447784,0.674,"rho"
336,-5571.12332172458,2.48861113026539,0.277,"rho"
240,-8335.3116291039,1.15785015420732,0.303,"rho"
335,-4716.61097788861,11.0225860186375,0.271,"rho"
331,-4244.06598897028,1.45653354284776,0.246,"rho"
329,-4708.04820817472,5.45055271747506,0.233,"rho"
348,-7888.91057334259,5.27851982041697,0.353,"rho"
328,-3058.13593729621,0.967683279425744,0.227,"rho"
351,-7573.37154744648,6.41492471656147,0.372,"rho"
345,-7771.71285744965,37.8197817717303,0.334,"rho"
